Timestamp,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5
2024-02-27 15:16:25,121,84,135,134,102
2024-02-27 15:16:25,105,161,100,127,161
2024-02-27 15:16:26,69,103,119,85,126
2024-02-27 15:16:26,89,97,159,98,59
2024-02-27 15:16:26,135,123,114,69,129
2024-02-27 15:16:26,125,117,52,93,120
2024-02-27 15:16:26,120,91,157,151,62
2024-02-27 15:16:26,82,53,118,119,119
2024-02-27 15:16:26,99,119,114,81,145
2024-02-27 15:16:26,142,106,133,109,119
2024-02-27 15:16:26,103,51,87,87,100
2024-02-27 15:16:26,136,51,147,94,133
2024-02-27 15:16:26,35,97,38,134,85
2024-02-27 15:16:26,95,127,76,95,89
2024-02-27 15:16:26,68,68,74,125,51
2024-02-27 15:16:26,127,67,102,127,136
2024-02-27 15:16:26,78,76,72,64,81
2024-02-27 15:16:26,68,97,127,111,85
2024-02-27 15:16:26,94,112,127,65,123
2024-02-27 15:16:26,123,77,69,94,119
2024-02-27 15:16:26,100,51,103,51,51
2024-02-27 15:16:26,88,42,131,113,51
2024-02-27 15:16:26,94,135,74,73,52
2024-02-27 15:16:26,45,52,98,82,92
2024-02-27 15:16:26,54,90,90,90,98
2024-02-27 15:16:26,97,119,51,83,95
2024-02-27 15:16:26,91,57,127,52,120
2024-02-27 15:16:26,64,83,95,81,91
2024-02-27 15:16:26,67,59,57,85,57
2024-02-27 15:16:26,119,119,105,54,119
2024-02-27 15:16:26,88,86,92,127,123
2024-02-27 15:16:26,74,93,99,108,119
2024-02-27 15:16:26,123,93,101,93,120
2024-02-27 15:16:26,91,95,123,68,119
2024-02-27 15:16:26,93,81,73,103,102
2024-02-27 15:16:26,122,95,97,101,105
2024-02-27 15:16:26,103,96,87,98,125
2024-02-27 15:16:26,110,104,103,109,113
2024-02-27 15:16:26,114,116,116,112,116
2024-02-27 15:16:26,119,122,114,119,127
2024-02-27 15:16:26,124,123,122,126,124
2024-02-27 15:16:26,128,128,128,128,128
2024-02-27 15:16:26,133,128,135,129,130
2024-02-27 15:16:26,144,136,133,136,135
2024-02-27 15:16:26,137,152,133,140,135
2024-02-27 15:16:26,157,152,157,148,151
2024-02-27 15:16:26,146,143,134,150,169
2024-02-27 15:16:26,159,148,167,155,130
2024-02-27 15:16:26,180,168,158,162,150
2024-02-27 15:16:26,127,185,131,176,189
2024-02-27 15:16:26,135,192,159,150,166
2024-02-27 15:16:26,167,164,167,132,165
2024-02-27 15:16:26,169,189,165,181,167
2024-02-27 15:16:26,157,151,191,127,161
2024-02-27 15:16:26,204,207,197,167,157
2024-02-27 15:16:26,173,153,162,153,124
2024-02-27 15:16:26,175,196,191,135,176
2024-02-27 15:16:26,178,164,159,178,156
2024-02-27 15:16:26,171,208,156,201,193
2024-02-27 15:16:26,165,152,125,200,203
2024-02-27 15:16:26,198,174,166,158,127
2024-02-27 15:16:26,153,204,203,122,188
2024-02-27 15:16:26,131,176,137,120,127
2024-02-27 15:16:26,180,134,190,144,130
2024-02-27 15:16:26,187,203,187,127,123
2024-02-27 15:16:26,212,212,186,130,175
2024-02-27 15:16:26,178,178,212,127,212
2024-02-27 15:16:26,179,175,160,213,128
2024-02-27 15:16:26,163,112,178,186,178
2024-02-27 15:16:26,219,158,166,177,109
2024-02-27 15:16:26,112,203,173,203,218
2024-02-27 15:16:26,127,122,103,157,154
2024-02-27 15:16:26,175,159,167,122,167
2024-02-27 15:16:26,199,155,146,146,155
2024-02-27 15:16:26,156,210,99,165,180
2024-02-27 15:16:26,105,127,142,90,98
2024-02-27 15:16:26,161,171,127,119,144
2024-02-27 15:16:26,131,139,86,134,134
2024-02-27 15:16:26,93,159,165,134,144
2024-02-27 15:16:26,93,157,135,157,193
2024-02-27 15:16:26,159,159,119,189,125
2024-02-27 15:16:26,144,127,102,176,155
2024-02-27 15:16:26,127,124,151,119,119
2024-02-27 15:16:26,137,179,97,105,97
2024-02-27 15:16:26,91,135,135,131,136
2024-02-27 15:16:26,116,149,122,101,131
2024-02-27 15:16:26,139,96,165,96,140
2024-02-27 15:16:26,145,108,114,125,100
2024-02-27 15:16:26,143,135,141,141,133
2024-02-27 15:16:26,133,136,128,115,136
2024-02-27 15:16:26,120,128,135,117,138
2024-02-27 15:16:26,124,128,125,130,129
2024-02-27 15:16:26,127,127,127,127,127
2024-02-27 15:16:26,124,130,123,129,133
2024-02-27 15:16:26,123,125,123,133,129
2024-02-27 15:16:26,116,109,117,126,121
2024-02-27 15:16:26,126,129,147,143,104
2024-02-27 15:16:26,119,132,98,144,132
2024-02-27 15:16:26,132,101,111,133,159
2024-02-27 15:16:26,150,114,102,119,102
2024-02-27 15:16:26,111,94,107,135,119
2024-02-27 15:16:26,122,101,100,107,90
2024-02-27 15:16:26,113,86,127,119,103
2024-02-27 15:16:26,74,169,169,77,106
2024-02-27 15:16:26,64,135,121,63,70
2024-02-27 15:16:26,119,126,90,84,119
2024-02-27 15:16:26,109,101,84,58,119
2024-02-27 15:16:26,157,160,124,79,155
2024-02-27 15:16:26,77,157,99,166,99
2024-02-27 15:16:26,46,120,127,83,149
2024-02-27 15:16:26,103,81,88,101,127
2024-02-27 15:16:26,96,88,155,155,49
2024-02-27 15:16:26,153,140,79,106,39
2024-02-27 15:16:26,51,70,88,119,99
2024-02-27 15:16:26,83,85,85,38,85
2024-02-27 15:16:26,51,101,45,87,145
2024-02-27 15:16:26,76,101,134,42,130
2024-02-27 15:16:26,126,51,78,84,78
2024-02-27 15:16:26,127,74,68,83,135
2024-02-27 15:16:26,75,96,92,121,41
2024-02-27 15:16:26,74,135,71,93,58
2024-02-27 15:16:26,94,51,84,119,100
2024-02-27 15:16:26,86,53,86,78,102
2024-02-27 15:16:26,110,74,52,103,99
2024-02-27 15:16:26,41,89,99,59,127
2024-02-27 15:16:26,127,105,128,59,127
2024-02-27 15:16:26,46,105,53,90,75
2024-02-27 15:16:26,54,119,91,97,133
2024-02-27 15:16:26,86,54,79,124,88
2024-02-27 15:16:26,104,85,104,88,93
2024-02-27 15:16:26,93,84,119,60,51
2024-02-27 15:16:26,86,84,68,126,86
2024-02-27 15:16:26,127,119,95,119,91
2024-02-27 15:16:26,90,60,87,98,122
2024-02-27 15:16:26,76,70,93,76,102
2024-02-27 15:16:26,119,86,107,82,78
2024-02-27 15:16:26,83,113,113,91,75
2024-02-27 15:16:26,98,119,96,119,114
2024-02-27 15:16:26,101,96,108,107,108
2024-02-27 15:16:26,107,98,104,106,120
2024-02-27 15:16:26,111,125,99,127,113
2024-02-27 15:16:26,113,110,108,116,123
2024-02-27 15:16:26,126,117,123,118,122
2024-02-27 15:16:26,127,127,127,127,127
2024-02-27 15:16:26,130,127,133,134,134
